"","3.1","3.2","3.3","4.1","4.2","5.1","5.2","5.3","5.4","6.2","6.3","6.4","6.5","7.2","7.3","7.4","7.5","8.1","8.2","12.2","12.3","13.1","13.2","16.2","16.3","17.1","17.2","17.3","17.4","18.2","18.3","19.1","19.2","28.1","28.11","28.2","45.11","45.12","Order"
"Lutjaniformes",0,0,7.46563143244137e-05,0,0.1,1.23514735307922e-06,5.20210164906622e-05,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.166666666666667,0.25,0,0,0,0,0,0,0.2,0,0,0,"Lutjaniformes"
"Macroscelidea",0,0,0.000818330605564648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Macroscelidea"
"Myctophiformes",0.00490194667441921,0,30.4763290134885,0,0,0,596.666666666667,6635.11111111111,3974.16666666667,0,0.0659340659340659,0,0,6,0.399975527732605,1.02380952380952,0,0,0.000337952010814464,0.024390243902439,0,1.13518974696621e-05,3.19955632818916e-05,0,0,7.28736938316741e-05,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,"Myctophiformes"
"NA",0.5,0,0.9,0,0,0.000935472156875128,0.0238095238095238,0.2,0.1,0,0.0121951219512195,0,0.000454075898786482,0,1,0,1.23514735307922e-06,0.000104042032981324,0,0,0.00234466588511137,2.96009788056992e-05,0,0,0,9.62019471274099e-06,1,9.78622002358479e-06,0,0,0,0.0134884951071145,3765,0,0.0319584602912811,0,0,0,"NA"
"Ophidiiformes",0,0,0.000435540069686411,0,0,0,0,0.0613781774165658,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ophidiiformes"
"Osmeriformes",2.5,0,0.00234466588511137,0,0,0,0,0,0.333333333333333,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Osmeriformes"
"Osteoglossiformes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Osteoglossiformes"
"Pempheriformes",0.222222222222222,0,49031.25,0,0,0,0.333333333333333,3.9471399024267e-06,0,0,0,0,0,0,0,0,0,0,0,5.20210164906622e-05,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0.5,0,0,"Pempheriformes"
"Perciformes",2.2,0.1,0.0152078404866509,0.0609756097560976,0.000217770034843206,5.67594873483103e-05,0,3,7449.8,0,0.000104042032981324,0,3.43153235077124e-05,0.00117233294255569,1.97339858704661e-05,0.194762684124386,0,0.024390243902439,7.69615577019279e-05,0.333333333333333,7.33966501768859e-06,0.444444444444444,5.75683696349878e-06,0.00227790432801822,0.000528960592435864,8,1,0.000111816174209599,0.333333333333333,0,0.666666666666667,0,0,0.1,0.0869565217391304,0,1.33724758040324,0.0357142857142857,"Perciformes"
"Percopsiformes",0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Percopsiformes"
"Pleuronectiformes",9.62019471274099e-06,0,1.71258850412734e-05,0,0,0,0,0,0,0,0,0,0,0.25,0.010989010989011,0,0,0,0,0,0,0.05,0.000337952010814464,0,0,1.13518974696621e-05,0,2,0,0,0,0,0,0.00117233294255569,0,0,0,0,"Pleuronectiformes"
"Priacanthiformes",0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Priacanthiformes"
"Primates",0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Primates"
"Salmoniformes",2,0,1.23514735307922e-06,5.20210164906622e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978987637783656,0,"Salmoniformes"
"Scombriformes",0,0,0.000240504867818525,0,2.4465550058962e-06,0.111111111111111,2.87841848174939e-06,0.010250569476082,0.000264480296217932,0,0,6.98851088809996e-06,0,9784.33333333333,0,0,0,0,0,0,0,0,0.4,0,0,0.0121951219512195,0,7.94632822876344e-05,1.06651877606305e-05,1,0.1,0,0,1,5.14729852615686e-05,0.00937866354044549,0,0,"Scombriformes"
"Siluriformes",0,0,1.39770217761999e-05,0.333333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Siluriformes"
"Spariformes",0,0,3.9471399024267e-06,0,0,0,0.000337952010814464,0,0.000217770034843206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,"Spariformes"
"Stomiiformes",0,0,4,0,0,0,0,3.43153235077124e-05,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.000264480296217932,1,0,0,0,0,0,0.25,0.010989010989011,0,0,31252.6666666667,0,0.154761904761905,0,0,0.000337952010814464,0,0,"Stomiiformes"
"Syngnathiformes",0,0,0.571428571428571,0,0,269790.333333333,0.180142291639143,3736.88888888889,0.446094417883038,0,0,0,0,1.39770217761999e-05,0,61.3333333333333,3,0.25,0,0.2,0,0,1.18414197072801e-05,0,0,0.1,0,0,0,0,0,0,0,0,5.20210164906622e-05,0,0,0,"Syngnathiformes"
"Tetraodontiformes",0,0,2,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000208084065962649,0,1.71576617538562e-05,0,0,0,0,0,0,0.666666666666667,0,0,0,"Tetraodontiformes"
"Uranoscopiformes",0,0,0.0869565217391304,0,3.9471399024267e-06,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000818330605564648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Uranoscopiformes"
